-1	53277	DIA_SERPENTES_NOENTER_PISSOFF_INFO	AI_OUTPUT(SELF,OTHER,"DIA_Serpentes_NoEnter_PissOff_01_00")	SUBTITLE	Хммм...(сердито)
-1	53280	DIA_SERPENTES_NOTALK_INFO	AI_OUTPUT(SELF,OTHER,"DIA_Serpentes_NOTALK_10_00")	SUBTITLE	Ты осмеливаешься обращаться ко мне, послушник? Возвращайся к своей работе.
2180	169976	DIA_SERPENTES_NOTALK_INFO	INFO_ADDCHOICE.PAR1	INFO_ADDCHOICE.PAR1	Мне нужно идти.
2180	169977	DIA_SERPENTES_NOTALK_INFO	INFO_ADDCHOICE.PAR1	INFO_ADDCHOICE.PAR1	У меня есть еще один вопрос...
-1	53281	DIA_SERPENTES_NOTALK_QUESTION	AI_OUTPUT(OTHER,SELF,"DIA_Serpentes_NOTALK_QUESTION_15_00")	SUBTITLE	У меня есть еще один вопрос...
-1	53281	DIA_SERPENTES_NOTALK_QUESTION	AI_OUTPUT(SELF,OTHER,"DIA_Serpentes_NOTALK_QUESTION_10_01")	SUBTITLE	(в ярости) Похоже, ты не понимаешь. Я решаю, когда говорить с тобой, а когда нет. Что ты о себе вообразил?
-1	53281	DIA_SERPENTES_NOTALK_QUESTION	AI_OUTPUT(SELF,OTHER,"DIA_Serpentes_NOTALK_QUESTION_10_02")	SUBTITLE	А теперь возвращайся к работе!
-1	53285	DIA_SERPENTES_GOAWAY_INFO	AI_OUTPUT(SELF,OTHER,"DIA_Serpentes_GOAWAY_10_00")	SUBTITLE	Твое присутствие здесь говорит не только о недостатке уважения, но также о твоей тупости, послушник!
2180	169982	DIA_SERPENTES_YOURSTORY	C_INFO.DESCRIPTION	C_INFO.DESCRIPTION	Я слышал, что ты прошел Испытание Огнем.
-1	53288	DIA_SERPENTES_YOURSTORY_INFO	AI_OUTPUT(OTHER,SELF,"DIA_Serpentes_YOURSTORY_15_00")	SUBTITLE	Я слышал, что ты прошел Испытание Огнем.
-1	53288	DIA_SERPENTES_YOURSTORY_INFO	AI_OUTPUT(SELF,OTHER,"DIA_Serpentes_YOURSTORY_10_01")	SUBTITLE	Со всей присущей мне скромностью я расскажу тебе об этом. Все остальные, кто пытались пройти это испытание, мертвы.
-1	53288	DIA_SERPENTES_YOURSTORY_INFO	AI_OUTPUT(SELF,OTHER,"DIA_Serpentes_YOURSTORY_10_02")	SUBTITLE	Тебе не стоит пытаться пройти это испытание. Твой дух слаб. Лучше служи в монастыре, и, возможно, через несколько лет ты будешь выбран.
-1	53288	DIA_SERPENTES_YOURSTORY_INFO	AI_OUTPUT(OTHER,SELF,"DIA_Serpentes_YOURSTORY_15_03")	SUBTITLE	Я хочу пройти это испытание.
-1	53288	DIA_SERPENTES_YOURSTORY_INFO	AI_OUTPUT(SELF,OTHER,"DIA_Serpentes_YOURSTORY_10_04")	SUBTITLE	Если такова воля Инноса, то пройдешь. Но если нет - то ты умрешь.
2180	169988	DIA_SERPENTES_TEST	C_INFO.DESCRIPTION	C_INFO.DESCRIPTION	Я готов пройти твое испытание, мастер.
-1	53291	DIA_SERPENTES_TEST_INFO	AI_OUTPUT(OTHER,SELF,"DIA_Serpentes_TEST_15_00")	SUBTITLE	Я готов пройти твое испытание, мастер.
-1	53291	DIA_SERPENTES_TEST_INFO	AI_OUTPUT(SELF,OTHER,"DIA_Serpentes_TEST_10_01")	SUBTITLE	Итак, ты хочешь подвергнуться этому испытанию. Только самые мужественные послушники требуют этого. Но мужество - это не все, что тебе понадобится.
-1	53291	DIA_SERPENTES_TEST_INFO	AI_OUTPUT(SELF,OTHER,"DIA_Serpentes_TEST_10_02")	SUBTITLE	Достаточно ли ты умен, чтобы пройти это испытание? А сил у тебя хватит встретить все опасности, что поджидают тебя?
-1	53291	DIA_SERPENTES_TEST_INFO	AI_OUTPUT(SELF,OTHER,"DIA_Serpentes_TEST_10_03")	SUBTITLE	Если нет, ты заплатишь за это своей жизнью.
-1	53291	DIA_SERPENTES_TEST_INFO	AI_OUTPUT(SELF,OTHER,"DIA_Serpentes_TEST_10_04")	SUBTITLE	А теперь слушай: В Месте Камней, найди того, кто никогда не был рожден - найди того, кто когда-то был вызван.
-1	53291	DIA_SERPENTES_TEST_INFO	AI_OUTPUT(SELF,OTHER,"DIA_Serpentes_TEST_10_05")	SUBTITLE	Одолей того, кого нельзя одолеть - померься силами с живой скалой, сразись с бессмертным камнем - и уничтожь его.
2180	169996	DIA_SERPENTES_TEST_INFO	B_LOGENTRY.ENTRY	LOG_ADDENTRY.PAR1	Серпентес дал мне испытание. Он хочет, чтобы я 'нашел ему того, кто когда-то был вызван', живую скалу, и победил его.
2180	169997	DIA_SERPENTES_NOIDEA	C_INFO.DESCRIPTION	C_INFO.DESCRIPTION	Что за создание это должно быть?
-1	53294	DIA_SERPENTES_NOIDEA_INFO	AI_OUTPUT(OTHER,SELF,"DIA_Serpentes_NOIDEA_15_00")	SUBTITLE	Живой скалой?! Что за создание это должно быть?
